id,osm_id,osm_type,coordinates,name,description,amenity,bicycle_parking,capacity,access,covered,fee,supervised,lit,operator,operator_type,building,level,surface,addr_city,addr_street,addr_housenumber,addr_suburb,addr_postcode,opening_hours,payment_none,ref,source,source_date,wikidata,wikipedia,created_at,updated_at
44,way/390223828,way,POINT(-46.4537701 -23.4858335),,,bicycle_parking,,,customers,no,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
45,way/393529645,way,POINT(-40.3167905 -20.3919128),,,bicycle_parking,wall_loops,,,no,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
46,node/412272173,node,POINT(-43.1815213 -22.9465323),,,bicycle_parking,rack,7,,no,no,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
47,way/413622244,way,POINT(-44.2508505 -21.123694),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
48,way/413624758,way,POINT(-44.248559 -21.1042891),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
49,way/413624759,way,POINT(-44.2503588 -21.1042023),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
50,way/413624760,way,POINT(-44.2493371 -21.1054478),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
51,way/413624762,way,POINT(-44.2490236 -21.1054956),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
52,way/413630394,way,POINT(-44.2606779 -21.1398338),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
53,way/413717245,way,POINT(-44.2489291 -21.1046665),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
54,way/414695097,way,POINT(-44.2501178 -21.1033634),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
55,way/414700348,way,POINT(-44.2512291 -21.1217465),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
56,way/417260446,way,POINT(-44.2483294 -21.1045562),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
57,way/419118616,way,POINT(-44.2491733 -21.1040864),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
58,way/422126327,way,POINT(-46.7299922 -23.5583541),,,bicycle_parking,,,,,,,,,,roof,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
59,way/422943782,way,POINT(-46.7256585 -23.558205),,,bicycle_parking,,,,no,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
60,way/436182529,way,POINT(-40.2986564 -20.3556837),,,bicycle_parking,wall_loops,,private,yes,,yes,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
61,way/436182531,way,POINT(-40.2985797 -20.3533951),,,bicycle_parking,wall_loops,,private,yes,,yes,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
62,way/446759978,way,POINT(-45.449402 -22.4145074),Bicicletário,,bicycle_parking,,,,,,,,,,roof,,,,,,,,,,,Unifei,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
63,way/450520926,way,POINT(-48.6545246 -26.9067266),Rua Félix Busso Asseburg,,bicycle_parking,wave,,,,,,,,,,,asphalt,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
64,node/454457637,node,POINT(-43.1778071 -22.9555492),,,bicycle_parking,,12,,no,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
65,way/458346362,way,POINT(-49.174493 -26.7439595),,,bicycle_parking,ground_slots,,yes,no,no,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
66,way/462160204,way,POINT(-49.3202291 -20.5299137),,,bicycle_parking,ground_slots,,private,,,,,,,,,paved,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
67,way/466687595,way,POINT(-46.7084503 -23.5715292),Bicicletário Estação Butantã,,bicycle_parking,building,149,yes,yes,no,yes,,ViaQuatro,,yes,,,,,,,,Mo-Su 06:00-22:00,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
68,node/475996261,node,POINT(-43.1731429 -22.9071513),,,bicycle_parking,,30,,,no,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
69,way/477155423,way,POINT(-49.176429 -26.7379987),,,bicycle_parking,wall_loops,10,yes,no,no,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
70,way/477794069,way,POINT(-49.1744719 -26.7334134),,,bicycle_parking,wall_loops,7,yes,yes,no,,,Rede Top Supermercados,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
71,way/478460432,way,POINT(-49.1769954 -26.7312733),,,bicycle_parking,ground_slots,3,yes,no,no,,,Farmalan,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
72,way/478460433,way,POINT(-49.1771025 -26.7313547),,,bicycle_parking,ground_slots,,yes,no,no,,,Farmalan,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
73,way/483697220,way,POINT(-46.7018347 -23.5616032),,,bicycle_parking,anchors,20,private,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
74,way/484571287,way,POINT(-34.8173764 -7.1621279),,,bicycle_parking,ground_slots,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
75,way/485976590,way,POINT(-51.2273655 -30.0497775),,,bicycle_parking,wall_loops,47,customers,yes,no,yes,yes,Shopping Praia de Belas,,,,,,,,,,Su-Sa 07:00-22:00,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
76,way/485976591,way,POINT(-51.226776 -30.0496229),,,bicycle_parking,wall_loops,20,customers,yes,no,yes,yes,Shopping Praia de Belas,,,,,,,,,,Su-Sa 07:00-22:00,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
77,way/486129667,way,POINT(-51.2013892 -30.0238048),,,bicycle_parking,stands,11,customers,no,no,no,yes,Moinhos Shopping,,,,,,,,,,Mo-Sa 10:00-22:00; Su 11:00-20:00,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
78,way/486722089,way,POINT(-48.8723294 -26.2616958),,,bicycle_parking,,,private,yes,,,,Embraco,,roof,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
79,way/487730159,way,POINT(-51.2346191 -30.0307959),,Paraciclos da Braskem,bicycle_parking,stands,12,yes,no,no,no,yes,Casa de Cultura Mario Quintana,,,,,,,,,,24/7,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
80,way/488389907,way,POINT(-46.7324789 -23.5458675),,,bicycle_parking,,,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
81,way/493020012,way,POINT(-44.0363064 -22.5984656),,,bicycle_parking,,,,,,,,,,,,asphalt,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
82,way/496250362,way,POINT(-53.7164859 -29.7188919),,,bicycle_parking,,17,,,,,,,,,,,,,,,,,,,,,,,2026-07-02T22:07:42.050Z,2026-07-02T22:07:42.050Z
