id,status_type,status_value,length,city_id,osm_id,name,pdc_typology,cycleway_typology
148,pdc_nao_realizado,0.21234453092601313,0.21234453092601313,2611606,way/320810706,Avenida da Recuperação,Ciclovia,none
149,pdc_nao_realizado,0.00788517926835729,0.00788517926835729,2611606,way/385648185,Girador da Reitoria da UFPE,Ciclovia,none
150,pdc_nao_realizado,0.06452243035924428,0.06452243035924428,2607901,way/392625226,Rodovia Governador Mário Covas,Ciclovia,none
151,pdc_nao_realizado,0.05234723501454631,0.05234723501454631,2611606,way/392625227,Rodovia Governador Mário Covas,Ciclovia,none
152,pdc_nao_realizado,0.03575756276509659,0.03575756276509659,2611606,way/392625228,Rodovia Governador Mário Covas,Ciclovia,none
153,pdc_nao_realizado,0.0700863171365859,0.0700863171365859,2607901,way/392625230,Rodovia Governador Mário Covas,Ciclovia,none
154,pdc_nao_realizado,0.39000765846589325,0.39000765846589325,2611606,way/392625231,Rodovia Governador Mário Covas,Ciclovia,none
155,pdc_nao_realizado,0.08687438178894183,0.08687438178894183,2607901,way/392625232,Rodovia Governador Mário Covas,Ciclovia,none
156,pdc_nao_realizado,0.016478658369720525,0.016478658369720525,2611606,way/466073062,,Ciclovia,none
157,pdc_nao_realizado,0.22384477795353205,0.22384477795353205,2611606,way/575167476,Avenida da Recuperação,Ciclovia,none
158,pdc_nao_realizado,0.5963596255701293,0.5963596255701293,2607901,way/588484125,Rodovia Governador Mário Covas,Ciclovia,none
159,pdc_nao_realizado,0.19259759134829144,0.19259759134829144,2611606,way/589872876,Rodovia Governador Mário Covas,Ciclovia,none
160,pdc_nao_realizado,0.24125156375049867,0.24125156375049867,2611606,way/589872877,Rodovia Governador Mário Covas,Ciclovia,none
161,pdc_nao_realizado,0.4611705747100485,0.4611705747100485,2611606,way/589872878,Rodovia Governador Mário Covas,Ciclovia,none
162,pdc_nao_realizado,0.1800241918424992,0.1800241918424992,2611606,way/589872879,Rodovia Governador Mário Covas,Ciclovia,none
163,pdc_nao_realizado,0.39650015880055867,0.39650015880055867,2611606,way/589872880,Rodovia Governador Mário Covas,Ciclovia,none
164,pdc_nao_realizado,0.3461679835628782,0.3461679835628782,2611606,way/589872881,Rodovia Governador Mário Covas,Ciclovia,none
165,pdc_nao_realizado,0.19810146262951314,0.19810146262951314,2611606,way/589872882,Rodovia Governador Mário Covas,Ciclovia,none
