our_code,cttu_code,law_code,description,category,total
,"5959","Art. 203; Inc. IV","Ultrapassar pela contramão outro veículo parado em fila junto a qualquer outro impedimento à livre c","Segurança viária",2
,"6947","Art. 235","Conduzir pessoas nas partes externas do veículo.","Segurança viária",2
,"6653","Art. 230; Inc. XI","Conduzir o veículo com silenciador de motor de explosão defeituoso, deficiente ou inoperante.","Outras/não classificadas",2
,"5428","Art. 181; Inc. V","Estacionar o veculo na pista de rolamento das vias dotadas de acostamento.","Segurança viária",2
,"6009","Art. 206; Inc. II","Executar operação de retorno nas curvas.","Segurança viária",2
,"6009","Art. 206; Inc. II","Executar operao de retorno nas curvas.","Segurança viária",2
,"5886","Art. 200","Ultrapassar pela direita veculo de transporte coletivo ou de escolares, parado para embarque ou des","Pedestres",2
,"5428","Art. 181; Inc. V","Estacionar o veículo na pista de rolamento das estradas.","Segurança viária",2
,"6017","Art. 206; Inc. III","Executar operação de retorno passando por cima de ajardinamento.","Ciclistas",2
,"5436","Art. 181; Inc. VI","Estacionar veculo junto ou sobre hidrantes de incndio, registro de gua ou tampas de poos de visi","Estacionamento/uso da via",2
,"7072","Art. 244; Inc. V","Conduzir motocicleta, motoneta e ciclomotor transportando criança menor de sete anos.","Segurança viária",2
,"5428","Art. 181; Inc. V","Estacionar o veculo na pista de rolamento das estradas.","Segurança viária",2
,"6017","Art. 206; Inc. III","Executar operação de retorno passando por cima de faixas de veículos não motorizados.","Ciclistas",2
,"6610","Art. 230; Inc. VII","Conduzir o veículo com a cor alterada.","Administrativas/documentais",2
,"6017","Art. 206; Inc. III","Executar operao de retorno passando por cima de ajardinamento.","Ciclistas",2
,"5266","Art. 174","Participar na via, como condutor, de exibição e demonstração de perícia em manobra de veículo, sem p","Segurança viária",2
,"5169","Art. 165","Dirigir sob a influncia de qualquer substncia psicoativa que determine dependncia","Segurança viária",2
,"7323","Art. 252; Inc. II","Dirigir o veículo transportando pessoas, à sua esquerda ou entre os braços e pernas.","Segurança viária",2
,"7331","Art. 252; Inc. III","Dirigir o veículo com incapacidade física ou mental temporária que comprometa a segurança do trânsit","Segurança viária",2
,"5150","Art. 164; c/c Art. 162; Inc. VI","Permitir posse/conduo do veculo a pessoa sem usar lentes corretoras de viso.","Administrativas/documentais",2
,"6556","Art. 230; Inc. I","Conduzir o veículo com inscrição do chassi violada ou falsificada.","Administrativas/documentais",2
,"5649","Art. 182; Inc. VIII","Parar o veículo nas pontes.","Segurança viária",2
,"6432","Art. 223","Transitar com o farol desregulado de forma a perturbar a visão de outro condutor.","Segurança viária",2
,"6432","Art. 223","Transitar com o facho de luz alta de forma a perturbar a visão de outro condutor.","Segurança viária",2
,"5533","Art. 181; Inc. XVI","Estacionar o veculo em aclive ou declive, no estando devidamente freado e sem calo de segurana,","Segurança viária",2
,"5711","Art. 185; Inc. II","Deixar de conservar nas faixas da direita, o veículo lento e de maior porte.","Fluidez do trânsito",2
,"6319","Art. 220; Inc. VI","Deixar de reduzir a velocidade do veculo de forma compatvel com a segurana do trnsito nos trecho","Segurança viária",2
,"5037","Art. 162; Inc. III","Dirigir veículo com Permissão para Dirigir de categoria diferente da do veículo.","Administrativas/documentais",2
,"6785","Art. 231; Inc. II; alnea a","Transitar com veculo lanando a carga que esteja transportando.","Segurança viária",2
,"6807","Art. 231; Inc. II; alnea c","Transitar com o veculo derramando, lanando ou arrastando qualquer objeto que possa acarretar risco","Segurança viária",2
,"6777","Art. 231; Inc. I","Transitar com o veículo danificando a via, suas instalações e equipamentos.","Segurança viária",2
,"7072","Art. 244; Inc. V","Conduzir motocicleta, motoneta e ciclomotor transportando criança sem condições de cuidar de sua pró","Segurança viária",1
,"7250","Art. 250; I; c","Quando o veículo estiver em movimento, deixar de manter acesa a luz baixa, de dia no caso de veículo","Segurança viária",1
,"5444","Art. 181; Inc. VII","Estacionar o veículo nos acostamentos, salvo motivo de força maior.","Estacionamento/uso da via",1
,"7617","Art. 253-A","Usar veículo para, deliberadamente, restringir circulação na via sem autorização do órgão.","Fluidez do trânsito",1
,"7277","Art. 250; Inc. II","Quando o veculo estiver em movimento deixar de manter acesas pelo menos as luzes de posio sob chu","Segurança viária",1
,"6181","Art. 215; Inc. II","Deixar de dar preferncia de passagem nas intersees com sinalizao de regulamentao - D a Prefe","Segurança viária",1
,"5517","Art. 181; Inc. XIV","Estacionar o veículo nos túneis.","Segurança viária",1
,"5363","Art. 179; Inc. II","Fazer ou deixar que se faa reparo em veculo na via pblica, salvo nos casos de impedimento absolut","Fluidez do trânsito",1
,"5819","Art. 193","Transitar com veculo em acostamentos.","Segurança viária",1
,"7307","Art. 251; Inc. II","Utilizar as luzes do veículo, baixa e alta, de forma intermitente, exceto quando permitido pelo CTB.","Segurança viária",1
,"5436","Art. 181; Inc. VI","Estacionar veículo junto ou sobre hidrantes de incêndio, registro de água ou tampas de poços de visi","Estacionamento/uso da via",1
,"5169","Art. 165","Dirigir sob a influência de qualquer substância psicoativa que determine dependência","Segurança viária",1
,"5428","Art. 181; Inc. V","Estacionar o veículo na pista de rolamento das vias dotadas de acostamento.","Segurança viária",1
,"6009","Art. 206; Inc. II","Executar operao de retorno nos viadutos.","Segurança viária",1
,"6556","Art. 230; Inc. I","Conduzir o veículo com qualquer outro elemento de identificação violado ou falsificado.","Administrativas/documentais",1
,"6556","Art. 230; Inc. I","Conduzir o veículo com o selo violado ou falsificado.","Administrativas/documentais",1
,"6920","Art. 233 c/c 123; inc. III","Deixar de efetuar registro do veículo em 30 dias, quando for alterada qualquer característica do veí","Administrativas/documentais",1
,"5304","Art. 176; Inc. III","Deixar o condutor envolvido em acidente com vítima de preservar o local, de forma a facilitar os tra","Segurança viária",1
,"6360","Art. 220; Inc. XI","Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito à aproxima","Segurança viária",1
,"6823","Art. 231; Inc. IV","Transitar com o veculo e/ou carga com dimenses superiores aos limites estabelecidos legalmente, se","Segurança viária",1
,"5150","Art. 164; c/c Art. 162; Inc. VI","Permitir posse/condução do veículo a pessoa sem usar lentes corretoras de visão.","Administrativas/documentais",1
,"6874","Art. 231; Inc. IX","Transitar com o veículo desligado em declive.","Segurança viária",1
,"6823","Art. 231; Inc. IV","Transitar com o veículo e/ou carga com dimensões superiores aos limites estabelecidos pela sinalizaç","Segurança viária",1
,"5649","Art. 182; Inc. VIII","Parar o veculo nos tneis.","Segurança viária",1
,"7005","Art. 241","Deixar de atualizar o cadastro de habilitação do condutor.","Administrativas/documentais",1
,"6475","Art. 226","Deixar de retirar todo e qualquer objeto utilizado para sinalização temporária da via.","Fluidez do trânsito",1
,"6459","Art. 225; Inc. I","Deixar de sinalizar a via para tornar visvel o local, quando tiver que permanecer no acostamento.","Segurança viária",1
,"6459","Art. 225; Inc. I","Deixar de sinalizar a via para tornar visvel o local, quando tiver de remover o veculo da pista de","Segurança viária",1
,"5746","Art. 187; Inc. I","Transitar em locais e horrios no permitidos pela regulamentao - Caminho.","Fluidez do trânsito",1
,"7404","Art. 254; Inc. III","proibido ao pedestre atravessar a via dentro das reas de cruzamento, exceto onde permitido pela s","Pedestres",1
,"6793","Art. 231; Inc. II; alnea b","Transitar com o veculo derramando, lanandosobre a via combustvel ou lubrificante que esteja utili","Segurança viária",1
,"7439","Art. 254; Inc. VI","proibido ao pedestre desobedecer sinalizao de trnsito especfica.","Pedestres",1
,"6793","Art. 231; Inc. II; alínea b","Transitar com o veículo derramando, lançandosobre a via combustível ou lubrificante que esteja utili","Segurança viária",1
,"5924","Art. 203; Inc. I","Ultrapassar pela contramão outro veículo nas curvas, sem visibilidade suficiente.","Segurança viária",1
,"5959","Art. 203; Inc. IV","Ultrapassar pela contramão outro veículo parado em fila junto a porteiras, cancelas.","Segurança viária",1
,"5983","Art. 205","Ultrapassar veculo em movimento que integre cortejo, prstito, desfile e formaes militares.","Fluidez do trânsito",1
,"6424","Art. 222","Deixar de manter ligado, nas situações de atendimento de emergência, o sistema de iluminação vermelh","Segurança viária",1
,"6416","Art. 221; parágrafo único","Confeccionar, distribuir ou colocar, em veículo próprio ou de terceiros, placas de identificação não","Administrativas/documentais",1
,"5746","Art. 187; Inc. I","Transitar em locais e horários não permitidos pela regulamentação - Caminhão.","Fluidez do trânsito",1
,"6734","Art. 230; Inc. XIX","Conduzir o veículo sem acionar o limpador de pára-brisa sob chuva.","Segurança viária",1
,"5070","Art. 163; c/c Art. 162; Inc. II","Entregar veículo a pessoa com Carteira Nacional de Habilitação, Permissão para Dirigir ou Autorizaçã","Administrativas/documentais",1
,"6416","Art. 221; pargrafo nico","Confeccionar, distribuir ou colocar, em veculo prprio ou de terceiros, placas de identificao no","Administrativas/documentais",1
,"6203","Art. 217","Entrar ou sair de fila de veículos estacionados sem dar preferência de passagem a pedestres e a outr","Pedestres",1
,"5924","Art. 203; Inc. I","Ultrapassar pela contramo outro veculo nas curvas, sem visibilidade suficiente.","Segurança viária",1
,"7617","ART. 253-A","Usar veculo para, deliberadamente, perturbar circulao na via sem autorizao do rgo.","Fluidez do trânsito",1
,"7102","Art. 244 inciso VIII","Conduzir motoc/moton/transportando carga em desacordo c/ § 2º do artigo 139 - a CTB","Segurança viária",1
,"6610","Art. 230; Inc. VII","Conduzir o veculo com a cor alterada.","Administrativas/documentais",1
,"5819","Art. 193","Transitar com veículo em acostamentos.","Segurança viária",1
,"7099","Art.244; Inc. VII; c/c §1º","Conduzir ciclo sem segurar o guidom com ambas as mãos.","Segurança viária",1
,"7145","Art. 245","Utilizar a via para depsito de mercadorias, materiais ou equipamentos.","Estacionamento/uso da via",1
,"7153","Art. 246","Deixar de sinalizar qualquer obstculo livre circulao, segurana de veculo e pedestres, na ca","Segurança viária",1
,"7153","Art. 246","Obstaculizar a via indevidamente - sem agravamento.","Segurança viária",1
,"7722","Art. 250; I; e","Em movimento deixar de manter acesa a luz baixa de dia, em rodovias de pista simples situadas fora d","Segurança viária",1
,"7218","Art. 248","Transportar em veículo destinado ao transporte de passageiros, carga excedente em desacordo com o es","Segurança viária",1
,"7226","Art. 249","Deixar de manter acesas, à noite, as luzes de posição, quando o veículo estiver parado para fins de","Segurança viária",1
,"5614","Art. 182; Inc. V","Parar o veículo na pista de rolamento das estradas.","Segurança viária",1
,"5517","Art. 181; Inc. XIV","Estacionar o veculo nos tneis.","Segurança viária",1
,"5177","Art. 166","Confiar ou entregar a direção de veículo a pessoa que, mesmo habilitada, por seu estado físico ou ps","Segurança viária",1
,"5266","Art. 174","Participar na via, como condutor, de competio sem permisso da autoridade de trnsito com circunsc","Segurança viária",1
,"7242","Art. 250; I; b","Quando o veículo estiver em movimento deixar de manter acesa a luz baixa de dia, nos túneis.","Segurança viária",1
,"5428","Art. 181; Inc. V","Estacionar o veculo na pista de rolamento das rodovias.","Segurança viária",1
