law_code,canonical_description,category,total_rows
Art. 174,Promover na via competição sem permissão da autoridade de trânsito com circunscrição sobre a via.,Segurança viária,2
Art. 174,"Promover, na via, competicao esportiva, eventos organizados, exibição e demonstração de perícia em manobra de veículo ou deles participar, como condutor, sem permissão da autoridade de trânsito com circunscrição sobre a via.",Segurança viária,2
Art. 174,"Promover, na via, eventos organizados sem permissão da autoridade de trânsito com circunscrição sobr",Segurança viária,1
Art. 174,"Promover, na via, exibio e demonstrao de percia em manobra de veculo sem permisso da autoridade de trnsito com circunscrio sobre a via.",Segurança viária,3
Art. 174 do CTB,"Participar na via, como condutor, de eventos organizados sem permissão da autoridade de trânsito com circunscrição sobre a via.",Segurança viária,1
Art. 174 do CTB,"Participar, na via, como condutor, de exibição e demonstração de perícia em manobra de veículo sem permissão da autoridade de trânsito com circunscrição sobre a via.",Segurança viária,61
Art. 174 do CTB,Promover na via competição sem permissão da autoridade de trânsito com circunscrição sobre a via.,Segurança viária,1
Art. 175,Utilizar veículo para demonstrar/exibir manobra perigosa mediante derrapagem/frenagem com deslizamento/arrastamento de pneus,Segurança viária,431
Art. 175,"Utilizar-se de veculo para, em via pblica, demonstrar ou exibir derrapagem ou frenagem com deslizamento ou arrastamento de pneus.",Segurança viária,9
Art. 175,"Utilizar-se de veículo para demonstrar ou exibir manobra perigosa, mediante arrancada brusca, derrapagem ou frenagem com deslizamento ou arrastamento de pneus.",Segurança viária,1646
Art. 175,"Utilizar-se de veículo para, em via pública, demonstrar ou exibir manobra perigosa, arrancada brusca, derrapagem ou frenagem, deslizamento ou arrastamento de pneus.",Segurança viária,330
Art. 175,"Utilizar-se de veículo para, em via pública, demonstrar ou exibir, arrancada brusca.",Segurança viária,549
Art. 175 do CTB,"Utilizar-se de veículo para demonstrar ou exibir manobra perigosa, mediante arrancada brusca, derrapagem ou frenagem com deslizamento ou arrastamento de pneus.",Segurança viária,283
"Art. 176, Inc. I","Deixar o condutor envolvido em acidente com vítima de prestar ou providenciar socorro à vítima, podendo fazê-lo.",Segurança viária,173
"Art. 176, Inc. II","Deixar o condutor envolvido em sinistro com vítima de adotar providências, podendo fazê-lo, no sentido de evitar perigo para o trânsito no local.",Segurança viária,36
"Art. 176, Inc. III","Deixar o condutor envolvido em acidente com vítima de preservar o local, de forma a facilitar os trabalhos da polícia e da perícia.",Segurança viária,53
"Art. 176, Inc. IV",Deixar o condutor envolvido em acidente com vítima de adotar providências para remover o veículo do,Fluidez do trânsito,1
"Art. 176, Inc. IV","Deixar o condutor envolvido em sinistro com vítima de adotar providências para remover o veículo do local, quando determinadas por policial ou agente da autoridade de trânsito.",Fluidez do trânsito,5
"Art. 176, Inc. V",Deixar o condutor envolvido em acidente com vítima de identificar-se ao policial e de lhe prestar informações necessárias à confecção do boletim de ocorrência.,Administrativas/documentais,91
Art. 177,Deixar o condutor de prestar socorro à vítima de acidente de trânsito quando solicitado pela autoridade e seus agentes.,Segurança viária,5
Art. 178,"Deixar o condutor, envolvido em acidente sem vítima, de adotar providências para remover o veículo do local, quando necessária tal medida para assegurar a segurança e a fluidez do trânsito.",Fluidez do trânsito,371
"Art. 179, Inc. I","Fazer ou deixar que se faça reparo em veículo na via pública, salvo nos casos de impedimento absoluto de sua remoção e em que o veículo esteja devidamente sinalizado, em pista de rolamento de rodovias e vias de trânsito rápido.",Segurança viária,4
"Art. 179, Inc. II","Fazer ou deixar que se faça reparo em veículo na via pública, salvo nos casos de impedimento absoluto de sua remoção e em que o veículo esteja devidamente sinalizado, em pista de rolamento de rodovias e vias de trânsito rápido.",Fluidez do trânsito,3
"Art. 179, Inc. II","Fazer ou deixar que se faça reparo em veículo na via pública, salvo nos casos de impedimento absoluto de sua remoção e em que o veículo esteja devidamente sinalizado, nas demais vias (que não rodovias/trânsito rapido).",Fluidez do trânsito,17
Art. 180,Ter seu veículo imobilizado na via por falta de combustível.,Fluidez do trânsito,252
"Art. 181, Inc. I",Estacionar o veículo nas esquinas e a menos de cinco metros do bordo do alinhamento da via transversal.,Estacionamento/uso da via,25419
"Art. 181, Inc. II",Estacionar o veículo afastado da guia da calçada (meio-fio) de cinquenta centímetros a um metro.,Estacionamento/uso da via,235
"Art. 181, Inc. III",Estacionar o veículo afastado da guia da calçada (meio-fio) a mais de um metro.,Estacionamento/uso da via,432
"Art. 181, Inc. IV",Estacionar o veículo em desacordo com as posições estabelecidas no Código de Trânsito Brasileiro.,Estacionamento/uso da via,7870
