type,geometry.type,geometry.coordinates,properties.id,properties.status_type,properties.status_value,properties.length,properties.city_id,properties.osm_id,properties.name,properties.pdc_typology,properties.cycleway_typology
Feature,LineString,"-34.86965,-7.76917,-34.86937,-7.76918",31,pdc_nao_realizado,0.03150261603408857,0.03150261603408857,2607604,way/570558277,PE-035,Ciclovia,none
Feature,LineString,"-34.86937,-7.76918,-34.86902,-7.76918,-34.86886,-7.76918,-34.86877,-7.76919",32,pdc_nao_realizado,0.06634378559027043,0.06634378559027043,2607604,way/570558280,PE-035,Ciclovia,none
Feature,LineString,"-34.89892,-7.77426,-34.89888,-7.77418,-34.89882,-7.77409,-34.89874,-7.77403,-34.89866,-7.77397,-34.89849,-7.7739,-34.89834,-7.77385,-34.89827,-7.77383",33,pdc_nao_realizado,0.08990143029511136,0.08990143029511136,2607752,way/589902511,Rua Frei Serafim,Ciclovia,none
Feature,LineString,"-34.83555,-7.76841,-34.83548,-7.76835,-34.83546,-7.76832,-34.83543,-7.76827,-34.8354,-7.76817,-34.83541,-7.76808,-34.83545,-7.76799,-34.83551,-7.76792,-34.83559,-7.76787,-34.83569,-7.76784,-34.83579,-7.76785,-34.83589,-7.7679,-34.83596,-7.76797,-34.83598,-7.768,-34.83601,-7.76807,-34.83602,-7.76818,-34.836,-7.76825,-34.83599,-7.76828,-34.83593,-7.76836,-34.83589,-7.76839,-34.83584,-7.76842,-34.83574,-7.76845,-34.83564,-7.76845,-34.83558,-7.76842,-34.83555,-7.76841",34,pdc_nao_realizado,0.21275729105895688,0.21275729105895688,2607604,way/609841223,,Ciclovia,none
Feature,LineString,"-34.83598,-7.768,-34.83608,-7.76806,-34.83616,-7.76811,-34.83618,-7.76812,-34.83622,-7.76813,-34.83635,-7.76816,-34.83654,-7.7682",35,pdc_nao_realizado,0.06714635851153702,0.06714635851153702,2607604,way/609841226,PE-035,Ciclovia,none
Feature,LineString,"-34.83654,-7.7682,-34.83633,-7.76822,-34.83625,-7.76822,-34.83617,-7.76822,-34.83609,-7.76824,-34.836,-7.76825",36,pdc_nao_realizado,0.060587740173732994,0.060587740173732994,2607604,way/609841227,PE-035,Ciclovia,none
Feature,LineString,"-34.90277,-7.78509,-34.90239,-7.78397,-34.90185,-7.78246,-34.90176,-7.78224,-34.90159,-7.78175,-34.90144,-7.78134,-34.90124,-7.78079,-34.90115,-7.78051",37,pdc_nao_realizado,0.5402879038299974,0.5402879038299974,2607752,way/610283890,PE-035,Ciclovia,none
Feature,LineString,"-34.90399,-7.78608,-34.90327,-7.7857,-34.90306,-7.78554,-34.90291,-7.78536,-34.90277,-7.78509",38,pdc_nao_realizado,0.1786812998769843,0.1786812998769843,2607752,way/610283892,PE-035,Ciclovia,none
Feature,LineString,"-34.90571,-7.78697,-34.90477,-7.78648,-34.90399,-7.78608",39,pdc_nao_realizado,0.21356533860765028,0.21356533860765028,2607752,way/610283893,PE-035,Ciclovia,none
Feature,LineString,"-34.89787,-7.77375,-34.89712,-7.77358,-34.89706,-7.77357,-34.89685,-7.77353,-34.89611,-7.77339,-34.89593,-7.77336",40,pdc_nao_realizado,0.21771135727104693,0.21771135727104693,2607752,way/610283894,Rua Frei Serafim,Ciclovia,none
Feature,LineString,"-34.89356,-7.7734,-34.89342,-7.77342,-34.89329,-7.77345,-34.89304,-7.77355,-34.89265,-7.77372,-34.89242,-7.77381,-34.89219,-7.77386,-34.89179,-7.7739,-34.89168,-7.77392,-34.89156,-7.77395",41,pdc_nao_realizado,0.23057262767482234,0.23057262767482234,2607752,way/610283895,Avenida João Pessoa,Ciclovia,none
Feature,LineString,"-34.90944,-7.82849,-34.90944,-7.82848,-34.90944,-7.82843,-34.90944,-7.82837,-34.90946,-7.82828,-34.90953,-7.82798,-34.90961,-7.82764,-34.90968,-7.82735,-34.9097,-7.82726,-34.90971,-7.82722,-34.90987,-7.82653",42,pdc_nao_realizado,0.22279049605848056,0.22279049605848056,2606804,way/628605085,Avenida Mário Melo,Ciclovia,none
Feature,LineString,"-34.90581,-7.78702,-34.90571,-7.78697",43,pdc_nao_realizado,0.01263945619801653,0.01263945619801653,2607752,way/742678671,PE-035,Ciclovia,none
Feature,LineString,"-34.89946,-7.7757,-34.89913,-7.77477,-34.89912,-7.77474,-34.89892,-7.77426",44,pdc_nao_realizado,0.17042552093407226,0.17042552093407226,2607752,way/742678672,Rua Frei Serafim,Ciclovia,none
