id,name,capacity,covered,access,operator,bicycle_parking
305,Bicicletário Terminal Vila Nova Cachoeirinha,24,yes,yes,Socicam,shed
306,Bicicletário Terminal Casa Verde,7,yes,yes,Socicam,shed
307,Bicicletário Terminal Vila Carrão,38,no,yes,Socicam,shed
308,Bicicletário Terminal Penha,28,no,yes,Socicam,shed
309,Bicicletário Terminal Aricanduva,54,yes,yes,Socicam,shed
310,Bicicletário Terminal Amaral Gurgel,41,yes,yes,Socicam,shed
311,Bicicletário Terminal Princesa Isabel,66,yes,yes,Socicam,shed
312,Bicicletário Terminal Bandeira,22,no,yes,Socicam,shed
313,Bicicletário Terminal Parque Dom Pedro II,156,yes,yes,Socicam,shed
314,Bicicletário Terminal Mercado,58,no,yes,Socicam,shed
315,Bicicletário Estação Pedro II (Oeste),40,yes,yes,Socicam,stands
316,Bicicletário Estação Pedro II (Leste),50,no,yes,Socicam,stands
317,Bicicletário Estação Ana Neri (Oeste),48,no,yes,Socicam,stands
318,Bicicletário Estação Ana Neri (Leste),42,no,yes,Socicam,stands
319,Bicicletário Estação Alberto Lion (Leste),16,no,yes,Socicam,stands
320,Bicicletário Estação Alberto Lion (Oeste),14,no,yes,Socicam,stands
321,Bicicletário Estação CA Ypiranga,42,no,yes,Socicam,stands
322,Bicicletário Estação NS Aparecida (Oeste),24,no,yes,Socicam,stands
323,Bicicletário Estação NS Aparecida (Leste),22,no,yes,Socicam,stands
324,Bicicletário Estação Rua do Grito (Oeste),20,no,yes,Socicam,stands
325,Bicicletário Estação Rua do Grito (Leste),62,no,yes,Socicam,stands
326,Bicicletário Terminal Sacomã,146,yes,yes,Socicam,stands
327,Bicicletário Terminal Vila Prudente,32,yes,yes,Socicam,building
328,Bicicletário Terminal Sapopemba,42,no,yes,Socicam,stands
329,,,,,,
330,,,no,yes,,
331,,12,no,customers,,stands
332,,,,,,stands
333,,,,,,stands
334,,,,,,
335,Bicicletário Terminal Cecap,130,yes,yes,EMTU - GDF,
336,,,,,,
337,,,,,,
338,,,,,,
339,,,,,,
340,,,,,,
341,,,,,,
342,,,,,,
343,,10,,yes,,stands
344,,,,,,
345,,,,private,,stands
346,,,,,,
347,,,,private,,
348,,,,,,
349,,,,,,
350,,,,,,
351,,,,,,
352,,23,,customers,PUCG-UFF,surface
353,,10,,customers,PUCG-UFF,surface
354,,12,,customers,PUCG-UFF,surface
