tema,servico,endpoint,parametros,arquivo,formato,numero_registros,status,observacao
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=IGARASSU,chamados_emergencia/outcomes_IGARASSU.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=IGARASSU,chamados_emergencia/profiles_IGARASSU.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=GOIANA,chamados_emergencia/outcomes_GOIANA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=GOIANA,chamados_emergencia/profiles_GOIANA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=ABREU E LIMA,chamados_emergencia/outcomes_ABREU_E_LIMA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=ABREU E LIMA,chamados_emergencia/profiles_ABREU_E_LIMA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=IPOJUCA,chamados_emergencia/outcomes_IPOJUCA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=IPOJUCA,chamados_emergencia/profiles_IPOJUCA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=SAO LOURENCO DA MATA,chamados_emergencia/outcomes_SAO_LOURENCO_DA_MATA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=SAO LOURENCO DA MATA,chamados_emergencia/profiles_SAO_LOURENCO_DA_MATA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=PALMARES,chamados_emergencia/outcomes_PALMARES.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=PALMARES,chamados_emergencia/profiles_PALMARES.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=CARPINA,chamados_emergencia/outcomes_CARPINA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=CARPINA,chamados_emergencia/profiles_CARPINA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=SURUBIM,chamados_emergencia/outcomes_SURUBIM.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=SURUBIM,chamados_emergencia/profiles_SURUBIM.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=LIMOEIRO,chamados_emergencia/outcomes_LIMOEIRO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=LIMOEIRO,chamados_emergencia/profiles_LIMOEIRO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=ESCADA,chamados_emergencia/outcomes_ESCADA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=ESCADA,chamados_emergencia/profiles_ESCADA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=MORENO,chamados_emergencia/outcomes_MORENO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=MORENO,chamados_emergencia/profiles_MORENO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=TIMBAUBA,chamados_emergencia/outcomes_TIMBAUBA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=TIMBAUBA,chamados_emergencia/profiles_TIMBAUBA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=PAUDALHO,chamados_emergencia/outcomes_PAUDALHO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=PAUDALHO,chamados_emergencia/profiles_PAUDALHO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=POMBOS,chamados_emergencia/outcomes_POMBOS.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=POMBOS,chamados_emergencia/profiles_POMBOS.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=BOM JARDIM,chamados_emergencia/outcomes_BOM_JARDIM.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=BOM JARDIM,chamados_emergencia/profiles_BOM_JARDIM.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=ALIANCA,chamados_emergencia/outcomes_ALIANCA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=ALIANCA,chamados_emergencia/profiles_ALIANCA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=CONDADO,chamados_emergencia/outcomes_CONDADO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=CONDADO,chamados_emergencia/profiles_CONDADO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=TAMANDARE,chamados_emergencia/outcomes_TAMANDARE.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=TAMANDARE,chamados_emergencia/profiles_TAMANDARE.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=BARREIROS,chamados_emergencia/outcomes_BARREIROS.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=BARREIROS,chamados_emergencia/profiles_BARREIROS.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=SIRINHAEM,chamados_emergencia/outcomes_SIRINHAEM.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=SIRINHAEM,chamados_emergencia/profiles_SIRINHAEM.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=RIBEIRAO,chamados_emergencia/outcomes_RIBEIRAO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=RIBEIRAO,chamados_emergencia/profiles_RIBEIRAO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=GLORIA DO GOITA,chamados_emergencia/outcomes_GLORIA_DO_GOITA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=GLORIA DO GOITA,chamados_emergencia/profiles_GLORIA_DO_GOITA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=NAZARE DA MATA,chamados_emergencia/outcomes_NAZARE_DA_MATA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=NAZARE DA MATA,chamados_emergencia/profiles_NAZARE_DA_MATA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=ILHA DE ITAMARACA,chamados_emergencia/outcomes_ILHA_DE_ITAMARACA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=ILHA DE ITAMARACA,chamados_emergencia/profiles_ILHA_DE_ITAMARACA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=ITAMBE,chamados_emergencia/outcomes_ITAMBE.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=ITAMBE,chamados_emergencia/profiles_ITAMBE.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=CHA GRANDE,chamados_emergencia/outcomes_CHA_GRANDE.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=CHA GRANDE,chamados_emergencia/profiles_CHA_GRANDE.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=MACAPARANA,chamados_emergencia/outcomes_MACAPARANA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=MACAPARANA,chamados_emergencia/profiles_MACAPARANA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=ITAPISSUMA,chamados_emergencia/outcomes_ITAPISSUMA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=ITAPISSUMA,chamados_emergencia/profiles_ITAPISSUMA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=FEIRA NOVA,chamados_emergencia/outcomes_FEIRA_NOVA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=FEIRA NOVA,chamados_emergencia/profiles_FEIRA_NOVA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=AGUA PRETA,chamados_emergencia/outcomes_AGUA_PRETA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=AGUA PRETA,chamados_emergencia/profiles_AGUA_PRETA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=AMARAJI,chamados_emergencia/outcomes_AMARAJI.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=AMARAJI,chamados_emergencia/profiles_AMARAJI.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=PASSIRA,chamados_emergencia/outcomes_PASSIRA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=PASSIRA,chamados_emergencia/profiles_PASSIRA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=SAO JOSE DA COROA GRANDE,chamados_emergencia/outcomes_SAO_JOSE_DA_COROA_GRANDE.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=SAO JOSE DA COROA GRANDE,chamados_emergencia/profiles_SAO_JOSE_DA_COROA_GRANDE.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=VICENCIA,chamados_emergencia/outcomes_VICENCIA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=VICENCIA,chamados_emergencia/profiles_VICENCIA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=CHA DE ALEGRIA,chamados_emergencia/outcomes_CHA_DE_ALEGRIA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=CHA DE ALEGRIA,chamados_emergencia/profiles_CHA_DE_ALEGRIA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=ARACOIABA,chamados_emergencia/outcomes_ARACOIABA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=ARACOIABA,chamados_emergencia/profiles_ARACOIABA.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=RIO FORMOSO,chamados_emergencia/outcomes_RIO_FORMOSO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=RIO FORMOSO,chamados_emergencia/profiles_RIO_FORMOSO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/outcomes,city=OROBO,chamados_emergencia/outcomes_OROBO.json,JSON,1,completo,
chamados_emergencia,emergency-calls,/v1/calls/profiles,city=OROBO,chamados_emergencia/profiles_OROBO.json,JSON,1,completo,
