_id	mes	equipamento	faixa	data	hora	minutos_intervalo	qtd_0a10km	qtd_11a20km	qtd_21a30km	qtd_31a40km	qtd_41a50km	qtd_51a60km	qtd_61a70km	qtd_71a80km	qtd_81a90km	qtd_91a100km	qtd_acimade100km
100	8	FC004REC	1	2025-08-02T00:00:00	1	16-30	0	1	1	2	1	1	0	0	0	0	0
101	8	FC004REC	1	2025-08-02T00:00:00	1	31-45	0	0	3	4	0	0	0	0	0	0	0
102	8	FC004REC	1	2025-08-02T00:00:00	1	46-59	0	1	0	1	1	0	0	0	0	0	0
103	8	FC004REC	1	2025-08-02T00:00:00	2	0-15	0	1	0	1	4	0	0	0	0	0	0
104	8	FC004REC	1	2025-08-02T00:00:00	2	16-30	0	0	0	1	1	0	0	0	0	0	0
105	8	FC004REC	1	2025-08-02T00:00:00	2	31-45	0	1	0	0	1	0	0	0	0	0	0
106	8	FC004REC	1	2025-08-02T00:00:00	2	46-59	0	0	1	1	0	0	0	0	0	0	0
107	8	FC004REC	1	2025-08-02T00:00:00	3	0-15	0	0	0	0	2	0	0	0	0	0	0
108	8	FC004REC	1	2025-08-02T00:00:00	3	16-30	0	0	2	2	0	0	0	0	0	0	0
109	8	FC004REC	1	2025-08-02T00:00:00	3	31-45	0	0	1	2	1	0	0	0	0	0	0
110	8	FC004REC	1	2025-08-02T00:00:00	3	46-59	0	0	0	1	0	0	0	0	0	0	0
111	8	FC004REC	1	2025-08-02T00:00:00	4	0-15	0	1	1	0	2	0	0	0	0	0	0
112	8	FC004REC	1	2025-08-02T00:00:00	4	16-30	0	1	1	0	0	0	0	0	0	0	0
113	8	FC004REC	1	2025-08-02T00:00:00	4	31-45	2	3	3	1	0	1	0	0	0	0	0
114	8	FC004REC	1	2025-08-02T00:00:00	4	46-59	1	6	2	0	4	0	0	0	0	0	0
115	8	FC004REC	1	2025-08-02T00:00:00	5	0-15	2	14	1	0	1	0	0	1	0	0	0
116	8	FC004REC	1	2025-08-02T00:00:00	5	16-30	1	7	2	3	1	1	0	0	0	0	0
117	8	FC004REC	1	2025-08-02T00:00:00	5	31-45	1	9	2	2	0	0	0	0	0	0	0
118	8	FC004REC	1	2025-08-02T00:00:00	5	46-59	1	14	4	0	1	0	0	0	0	0	0
119	8	FC004REC	1	2025-08-02T00:00:00	6	0-15	4	3	1	8	5	2	0	0	0	1	0
120	8	FC004REC	1	2025-08-02T00:00:00	6	16-30	0	7	0	7	10	2	0	0	0	0	0
121	8	FC004REC	1	2025-08-02T00:00:00	6	31-45	1	3	1	9	13	6	1	0	0	0	0
122	8	FC004REC	1	2025-08-02T00:00:00	6	46-59	0	2	6	17	11	2	0	0	0	0	0
123	8	FC004REC	1	2025-08-02T00:00:00	7	0-15	0	5	6	13	17	1	0	0	0	0	0
124	8	FC004REC	1	2025-08-02T00:00:00	7	16-30	0	10	1	23	19	3	0	0	0	0	0
125	8	FC004REC	1	2025-08-02T00:00:00	7	31-45	2	16	10	21	22	1	0	0	0	0	0
126	8	FC004REC	1	2025-08-02T00:00:00	7	46-59	1	8	6	32	18	1	0	0	0	0	0
127	8	FC004REC	1	2025-08-02T00:00:00	8	0-15	4	20	10	18	11	0	0	0	0	0	0
128	8	FC004REC	1	2025-08-02T00:00:00	8	16-30	6	8	9	25	10	1	0	0	0	0	0
129	8	FC004REC	1	2025-08-02T00:00:00	8	31-45	2	11	12	24	11	1	0	0	0	0	0
130	8	FC004REC	1	2025-08-02T00:00:00	8	46-59	0	15	4	26	6	0	0	0	0	0	0
131	8	FC004REC	1	2025-08-02T00:00:00	9	0-15	1	15	12	16	7	0	0	0	0	0	0
132	8	FC004REC	1	2025-08-02T00:00:00	9	16-30	0	23	13	19	7	2	0	0	0	0	0
133	8	FC004REC	1	2025-08-02T00:00:00	9	31-45	1	19	15	14	8	3	0	0	0	0	0
134	8	FC004REC	1	2025-08-02T00:00:00	9	46-59	0	12	7	26	17	0	0	0	0	0	0
135	8	FC004REC	1	2025-08-02T00:00:00	10	0-15	1	16	14	27	10	1	0	0	0	0	0
136	8	FC004REC	1	2025-08-02T00:00:00	10	16-30	3	13	12	29	11	1	0	0	0	0	0
137	8	FC004REC	1	2025-08-02T00:00:00	10	31-45	4	16	16	34	10	3	0	0	0	0	0
138	8	FC004REC	1	2025-08-02T00:00:00	10	46-59	0	9	13	31	15	1	0	0	0	0	0
139	8	FC004REC	1	2025-08-02T00:00:00	11	0-15	1	20	36	19	6	0	0	0	0	0	0
140	8	FC004REC	1	2025-08-02T00:00:00	11	16-30	2	21	45	11	6	0	0	0	0	0	0
141	8	FC004REC	1	2025-08-02T00:00:00	11	31-45	2	22	57	17	2	0	0	0	0	0	0
142	8	FC004REC	1	2025-08-02T00:00:00	11	46-59	1	22	48	13	0	0	0	0	0	0	0
143	8	FC004REC	1	2025-08-02T00:00:00	12	0-15	1	22	50	19	4	0	0	0	0	0	0
144	8	FC004REC	1	2025-08-02T00:00:00	12	16-30	1	23	49	15	5	1	0	0	0	0	0
145	8	FC004REC	1	2025-08-02T00:00:00	12	31-45	5	25	60	22	8	1	0	0	0	0	0
146	8	FC004REC	1	2025-08-02T00:00:00	12	46-59	2	12	37	21	17	0	0	0	0	0	0
147	8	FC004REC	1	2025-08-02T00:00:00	13	0-15	1	27	39	19	3	0	0	0	0	0	0
148	8	FC004REC	1	2025-08-02T00:00:00	13	16-30	1	15	49	14	4	2	0	0	0	0	0
149	8	FC004REC	1	2025-08-02T00:00:00	13	31-45	3	18	35	13	9	3	0	0	0	0	0
150	8	FC004REC	1	2025-08-02T00:00:00	13	46-59	2	13	15	18	7	1	0	0	0	0	0
151	8	FC004REC	1	2025-08-02T00:00:00	14	0-15	0	19	42	18	3	0	0	0	0	0	0
152	8	FC004REC	1	2025-08-02T00:00:00	14	16-30	0	14	33	22	11	1	0	0	0	0	0
153	8	FC004REC	1	2025-08-02T00:00:00	14	31-45	1	20	40	12	6	3	0	0	0	0	0
154	8	FC004REC	1	2025-08-02T00:00:00	14	46-59	0	21	32	10	3	1	0	0	0	0	0
155	8	FC004REC	1	2025-08-02T00:00:00	15	0-15	0	26	35	18	13	0	0	0	0	0	0
156	8	FC004REC	1	2025-08-02T00:00:00	15	16-30	3	15	39	15	9	0	0	0	0	0	0
157	8	FC004REC	1	2025-08-02T00:00:00	15	31-45	1	20	29	16	11	1	0	0	0	0	0
158	8	FC004REC	1	2025-08-02T00:00:00	15	46-59	1	13	29	14	5	1	0	0	0	0	0
159	8	FC004REC	1	2025-08-02T00:00:00	16	0-15	0	26	29	12	5	0	0	0	0	0	0
160	8	FC004REC	1	2025-08-02T00:00:00	16	16-30	1	24	53	18	5	1	0	0	0	0	0
161	8	FC004REC	1	2025-08-02T00:00:00	16	31-45	0	26	36	18	5	1	0	0	0	0	0
162	8	FC004REC	1	2025-08-02T00:00:00	16	46-59	0	20	33	11	5	2	0	0	0	0	0
163	8	FC004REC	1	2025-08-02T00:00:00	17	0-15	0	20	29	26	5	0	0	0	0	0	0
164	8	FC004REC	1	2025-08-02T00:00:00	17	16-30	1	18	43	24	3	1	0	0	0	0	0
165	8	FC004REC	1	2025-08-02T00:00:00	17	31-45	1	22	40	6	10	0	0	0	0	0	0
166	8	FC004REC	1	2025-08-02T00:00:00	17	46-59	0	22	24	20	3	0	0	0	0	0	0
167	8	FC004REC	1	2025-08-02T00:00:00	18	0-15	1	24	23	17	6	0	0	0	0	0	0
168	8	FC004REC	1	2025-08-02T00:00:00	18	16-30	1	25	32	19	3	0	0	0	0	0	0
169	8	FC004REC	1	2025-08-02T00:00:00	18	31-45	0	31	50	13	3	0	0	0	0	0	0
