id,code,name_concatenated,official_name,short_name,pavement_code,pavement_description
10850,111775,TRV DO ROSARIO,Travessa do Rosário,Trv do Rosario,S,Via Pavimentada
9960,91944,TRV DO SABINO,Travessa do Sabino,Trv do Sabino,X,Não definida
11372,118591,TRV DOS ALIADOS,Travessa dos Aliados,Trv Dos Aliados,X,Não definida
10828,111520,TRV DO SANCHO,Travessa do Sancho,Trv do Sancho,S,Via Pavimentada
8370,73369,TRV DOS COELHOS,Travessa dos Coelhos,Trv dos Coelhos,X,Não definida
6553,54828,TRV DOS CONDOMINIOS,Travessa dos Condomínios,Trv Dos Condominios,N,Via Não Pavimentada
10638,109738,TRV DOS JASMIN,Travessa dos Jasmin,Trv dos Jasmin,N,Via Não Pavimentada
5284,43443,TRV DOS MARTIRIOS,Travessa dos Martírios,Trv dos Martirios,S,Via Pavimentada
10735,110213,TRV DOS PEIXINHOS,Travessa dos Peixinhos,Trv dos Peixinhos,X,Não definida
11212,116645,TRV DOS TIJOLOS,Travessa dos Tijolos,Trv Dos Tijolos,X,Não definida
11852,701220,TRV DO SUPAPO,Travessa do Supapo,Trv do Supapo,N,Via Não Pavimentada
7103,60348,TRV DO TAVARES,Travessa do Tavares,Trv do Tavares,N,Via Não Pavimentada
10343,99090,TRV DRA AMARILES BARBOSA DE AGUIAR,Travessa Doutora Amariles Barbosa de Aguiar,Trv Dra. Amariles Barbosa de Aguiar,S,Via Pavimentada
10298,98477,TRV DOUTOR ANTONIO CORREA DE OLIVEIRA,Travessa Doutor Antônio Correa de Oliveira,Trv Dr Antônio Correa de Oliveira,N,Via Não Pavimentada
10914,112658,TRV DR BENEVENUTO TELES NETO,Travessa Doutor Benevuto Teles Neto,Trv. Dr. Benevuto Teles Neto,S,Via Pavimentada
11721,125296,TRV DR BENIGNO JORDAO DE VASCONCELOS,Travessa Doutor Benigno Jordão de Vasconcelos,Trv Dr. Benigno Jordão de Vasconcelos,N,Via Não Pavimentada
8389,73598,TRV DR EUTIQUIO DE BARROS,Travessa Doutor Eutíquio de Barros,Trv Dr Eutíquio de Barros,S,Via Pavimentada
8498,74543,TRV DR JOSE ANASTACIO DA SILVA GUIMARAES,Travessa Doutor José Anastácio da Silva Guimarã,Trv Dr José Anastácio da Silva Guimarães,P,Via Parcialmente Pavimentada
11338,118125,TRV DR PORTO,Travessa Doutor Porto,Trv Dr. Porto,N,Via Não Pavimentada
11743,125822,TRV DOUTOR SAMUEL LINS,Travessa Doutor Samuel Lins,Tr. Dr. Samuel Lins,X,Não definida
9306,84476,TRV DR URBANO VITALINO DE MELO FILHO,Travessa Doutor Urbano Vitalino de Melo Filho,Trv Dr. Urbano Vitalino de Melo Filho,S,Via Pavimentada
7421,62820,TRV DO VALENTE,Travessa do Valente,Trv do Valente,X,Não definida
7143,60631,TRV DO VIVEIRO,Travessa do Viveiro,Trv do Viveiro,S,Via Pavimentada
2807,20338,TRV DOWSLEY,Travessa Dowsley,Trv Dowsley,S,Via Pavimentada
4048,32093,TRV DRACENA,Travessa Dracena,Trv Dracena,S,Via Pavimentada
10664,109975,TRV DR CARLOS ALBERTO DE MENEZES,Travessa Dr Carlos Alberto de Menezes,Trv Dr Carlos Alberto de Menezes,X,Não definida
11434,119300,TRV DR EUDES COSTA,Travessa Dr Eudes Costa,Trv Dr Eudes Costa,X,Não definida
10196,96504,TRV DR GEORGE WILLIAM BUTLER,Travessa Dr George William Butler,Trv Dr George William Butler,S,Via Pavimentada
8901,79642,TRV DR JOSE MARCIONILO DE BARROS LINS,Travessa Dr José Marcionilo de Barros Lins,Trv Dr José Marcionilo de Barros Lins,S,Via Pavimentada
8185,71307,TRV DR MACHADO,Travessa Dr Machado,Trv Dr Machado,S,Via Pavimentada
10766,110639,TRV DR MIGUEL VIEIRA FERREIRA,Travessa Dr Miguel Vieira Ferreira,Trv Dr Miguel Vieira Ferreira,X,Não definida
11307,117773,TRV DUARTE NUNES LEAO,Travessa Duarte Nunes Leão,Trv Duarte Nunes Leao,X,Não definida
8809,78492,TRV DULCINEIA,Travessa Dulcineia,Trv Dulcineia,S,Via Pavimentada
9131,82317,TRV EDNA,Travessa Edna,Trv Edna,S,Via Pavimentada
9132,82325,TRV EDNA,Travessa Edna,Trv Edna,X,Não definida
11392,118869,TRV EDSON FILHO,Travessa Edson Filho,Trv Edson Filho,S,Via Pavimentada
